"code","name","numeric_class"
"MARIA","Mariana Islands, North",471
"MARQU","French Polynesia",411
"MARSH","Marshall Islands",472
"MARTI","Martinique",511
"MAUTA","Mauritania",389
"MAUTI","Mauritius",342
"MELIL","Spain",129
"MEXIC","Mexico",582
"MIDWA","United States",583
"MIQUE","St. Pierre and Miquelon",502
"MOLDO","Moldova",157
"MONAC","Monaco",122
"MONGO","Mongolia",299
"MONTS","Montserrat",521
"MORAN","Jamaica",514
"MOROC","Morocco",374
"MOZAM","Mozambique",329
"MUSCA","Oman",256
"NAMER","North America",500
"NAMIB","Namibia",371
"NANTI","Netherlands Antilles",508
"NAURU","Nauru",440
"NBORN","Malaysia",273
"NEPAL","Nepal",257
"NETHE","Netherlands",123
"NEVIS","St. Kitts-Nevis",522
"NEWCA","New Caledonia",409
"NEWGU","Papua New Guinea",466
"NEWHE","Vanuatu",410
"NEWZE","New Zealand",464
"NGUIA","Suriname",602
"NICAR","Nicaragua",579
"NICOB","India",247
"NIGE","Niger",390
"NIGEI","Nigeria",343
"NIGER","Niger",390
"NIGIA","Nigeria",343
"NINDI","Netherlands Antilles",508
"NIREL","Northern Ireland",180
"NIUE","Niue",470
"NKORE","Korea, North",275
"NMARI","Northern Mariana Islands",471
"NORFO","Australia",438
"NORWA","Norway",124
"NPALE","Jordan",474
"NQI","Non-quota immigrant",710
"NQUOT","Non-quota immigrant",710
"NRHOD","Zambia",344
"NSTMA","Guadeloupe",508
"NVIET","North Vietnam",266
"NYEME","Northern Yemen",280
"OCEAN","Kiribati",414
"OKINA","Japan",252
"OMAN","Oman",256
"OUTER","China, People's Republic of",245
"PACIF","Palau",406
"PAKIS","Pakistan",258
"PALAU","Palau",474
"PALES","Jordan",259
"PANAM","Panama",580
"PAPUA","Papua New Guinea",466
"PARAG","Paraguay",693
"PAUMO","French Polynesia",411
"PEDRO","Jamaica",514
"PEMBA","Tanzania",354
"PERU","Peru",694
"PGUIN","Guinea-Bissau",327
"PHILI","Philippines",260
"PITCA","Pitcairn Islands",416
"POLAN","Poland",125
"POLYN","French Polynesia",411
"PORTU","Portugal",126
"PR","Puerto Rico",505
"PRINC","Principe and Sao tome",330
"PTIMO","Indonesia",248
"PUERT","Puerto Rico",505
"QATAR","Qatar",297
"RALIA","Australia",438
"RAPAI","French Polynesia",411
"REUNI","Reunion",321
"RIOMU","Equatorial Guinea",399
"ROMAN","Romania",127
"RUSSI","Russia",158
"RWAND","Rwanda",376
"RYUKY","Japan",252
"SABA","Netherlands Antilles",508
"SABAH","Malaysia",273
"SAFRI","South Africa",373
"SAIPA","Mariana Islands, Northern",406
"SAKHA","USSR",134
"SALVA","El Salvador",576
"SAMER","South America",600
"SANAA","Sanaa-Yemen",280
"SANMA","San Marino",128
"SAOTO","Sao Tome and Principe",330
"SARAW","Malaysia",273
"SAUDI","Saudi Arabia",261
"SCOTL","United Kingdom",180
"SENEG","Senegal",391
"SEYCH","Seychelles",347
"SHIKO","Japan",252
"SHIP","Born on Board Ship",700
"SIERR","Sierra Leone",348
"SIKKI","India",247
"SINGA","Singapore",207
"SINKI","China, People's Republic of",245
"SKORE","Korea, South",276
"SLOVA","Slovak Republic",141
"SLOVE","Slovenia",166
"SNA","Spanish North Africa",129
"SOCIE","French Polynesia",411
"SOLOM","Solomons Islands",412
"SOMAL","Somalia",397
"SOMBR","St. Vincent-Grenadines",522
"SPAIN","Spain",129
"SPSAH","Western Sahara",333
"SRHOD","Zimbabwe",315
"SRILA","Sri Lanka",244
"STATE","Stateless",0
"STEUS","Netherlands Antilles",508
"STHEL","St. Helena",346
"STKIT","St. Kitts-Nevis",522
"STLUC","St. Lucia",523
"STMAR","Netherlands Antilles",508
"STPIE","St. Pierre Miquelon",502
"STRIA","Austria",103
"STVIN","St. Vincent/Grenadines",524
"SUDAN","Sudan",350
"SURIN","Suriname",602
"SVALB","Norway",124
"SVIET","South Vietnam",266
"SWAIN","American Samoa",403
"SWAN","Honduras",578
"SWAZI","Swaziland",351
"SWEDE","Sweden",130
"SWITZ","Switzerland",131
"SYRIA","Syria",262
"TAIWA","Taiwan",268
"TAJIK","Tajikistan",159
"TANGA","Tanzania",354
"TANGI","Morocco",374
"TANZA","Tanzania",354
"TASMA","Australia",438
"THAIL","Thailand",263
"TIBET","China, People's Republic of",245
"TIMOR","Indonesia",248
"TOBAG","Trinidad and Tobago",516
"TOGO","Togo",304
"TOKEL","New Zealand",464
"TONGA","Tonga",417
"TORRE","Vanuatu",410
"TRINI","Trinidad and Tobago",516
"TRUST","Palau",406
"TUAMO","French Polynesia",411
"TUBAU","French Polynesia",411
"TUNIS","Tunisia",323
"TURKE","Turkey",264
"TURKM","Turkmenistan",161
"TURKS","Turks and Caicos Islands",527
"TUVAL","Tuvalu",420
"UAE","United Arab Emirates",296
"UAL","United Arab Emirates",296
"UAR","United Arab Republic",368
"UGAND","Uganda",352
"UINEA","Guinea",382
"UISLA","New Zealand",464
"UK","United Kingdom",180
"UKRAI","Ukraine",162
"UNION","New Zealand",464
"UNKNO","Unknown",999
"UPPER","Burkina Faso",393
"URUGU","Uruguay",695
"US","USA",583
"USSR","USSR",134
"UZBEK","Uzbekistan",163
"VANUA","Vanuatu",410
"VELEZ","Spain",129
"VENEZ","Venezuela",696
"VIETN","Vietnam",266
"VIRGI","U. S. Virgin Islands",506
"VOLCA","Japan",252
"WAKE","United States",583
"WALES","United Kingdom",180
"WALLI","Wallis and Futuna Islands",469
"WASHI","Kiribati",414
"WGERM","Germany, West",112
"WNGUI","Indonesia",248
"WSAHA","Western Sahara",333
"WSAMO","Western Samoa",465
"YEMEN","Yemen-Sanaa",280
"YUGOS","Yugoslavia",139
"ZAIRE","Zaire",301
"ZAMBI","Zambia",344
"ZANZI","Zanzibar",354
"ZIMBA","Zimbabwe",315
